nodeIdx,nodeId,topic,target,found,foundRegistrant,foundExtra,timeToFirstMs,timeToCompletionMs,hitTimeout,recall
322,0900bb829706e2a6955bc9d45c535a9ddd37a8a4556e45424ae12cba6f71bab7,2,73,73,73,0,74.656209,2299.236209,0,1.0
323,24693a9e7c14d493e2df83baaf534f71a7c9ffc1b060ee77a6522fbdec5b9ebd,0,211,187,187,0,92.596916,180000.094583,1,0.8862559241706162
324,c441a1fbf9c67145308bca40890430afe4bea64c3b113105ae216b89ffda9176,0,211,204,204,0,72.190166,180000.071083,1,0.966824644549763
325,ee011a63f25d6f8d9c808c559c9e5a787195262698c4d813adc1ddb85e90e719,0,211,207,207,0,95.556584,180000.0495,1,0.981042654028436
326,89ffe4bb07292cb778113ae0e0791b7640ba6fd8a4268a34103e0b8b20f641e0,0,211,191,191,0,75.825791,180000.063583,1,0.9052132701421801
327,d7c315e34389d29da3190e29f9ed90f22797251ae42185939f48f0096b3a713a,4,39,39,39,0,97.855125,1071.743125,0,1.0
328,2fbb4a937f8a8155a5387c9d5766caec8c8de51074dfd7d3edaa82a7b32fefa5,1,105,105,105,0,82.531167,3052.063792,0,1.0
329,6e44dcc66aef790925d6299fee78c07334136e7033be68bafa066d235c8d556b,0,211,200,200,0,88.304375,180000.07,1,0.9478672985781991
330,bfcb14c79acc7fcca5c92706f8e5536b41c7bcbf70194b831fc71fdafc7ea8b1,2,73,73,73,0,85.077125,1727.924708,0,1.0
331,7bb9bfaccd42bb7f97173188040b4c73d1e6a1bb89d641a57198941fe3ca8ea0,4,39,39,39,0,157.996958,1175.066583,0,1.0
332,aa95145af6be4358a8035c4afd2a969a0fcd8c36d850bb5cdcbec7213dd038b9,0,211,207,207,0,86.576833,180000.03925,1,0.981042654028436
333,f5215958cafc186fbdebbf0cb4a5f4c34e612572391990a402f0ac87d0fb0f1f,1,105,105,105,0,85.672,2533.756667,0,1.0
334,8f6755c88cb5068a451a72ee20609f74190e740148584ee41e1ca07cf88b272f,0,211,206,206,0,89.138458,180000.123708,1,0.976303317535545
335,ada8e47d35abc9a0ec3b35ad370b6560bc55575a772b5679fb4f1a76dd5aec3d,4,39,39,39,0,85.242208,1064.532125,0,1.0
336,ca0bc840b00201bba1395fc851dec9638324975125e9f0fe107d837c0ba198df,0,211,208,208,0,101.25075,180000.114291,1,0.985781990521327
337,ecc1841fde25a51e62bccf098b75859061da5958dfc486a2e5cd28e81d31746b,3,67,67,67,0,84.350667,2171.923583,0,1.0
338,ffd8aba8d29f4c03828ae459d4831c6e33a831fadd56a5a55045fed1a86b5601,0,211,200,200,0,101.347,180000.157584,1,0.9478672985781991
339,dc5fdcd60c2b35b86b4fab320973a1f4d3f3e40b569aa3611814815f42fcd676,0,211,208,208,0,84.776875,180000.127833,1,0.985781990521327
340,ba39cbf832b60d639bb7adf4e581bfb8f5ddbb908f2b84da0b06c7f0a7d5bbff,0,211,206,206,0,88.906916,180000.120208,1,0.976303317535545
341,7fdd6a90e636c273e23fef9529085f999cc677be60c4750a23f4b6abf318814c,0,211,204,204,0,100.041584,180000.159959,1,0.966824644549763
342,856563f92dad806cac98cb0f71850c966c7d88066da4738277a9b5b54e8e40b6,4,39,39,39,0,100.730542,1379.9435,0,1.0
343,f2fab01cc79547c149b15aef10397065b02a2f476a2490815ce50f431a3cd7dc,2,73,73,73,0,99.522958,1939.34125,0,1.0
344,8b3829c4e70751cdba12e6a9858312c912697a0bbca18963809784799e3fbd4c,0,211,207,207,0,101.280292,180000.082292,1,0.981042654028436
345,1b37a2f6f629db4baadf1cc1236fc7a3784e89908bc8ddc3879d32f8a7dd059f,1,105,105,105,0,73.776333,2692.292958,0,1.0
346,4916f971572b16b7e532a39c7b28c683c4dba53ea15e52694f463bec2f062c1b,3,67,67,67,0,80.11475,2025.308875,0,1.0
347,42c1f41ef1047020fbd9e47867fd0157c248af6e86122eccd1010f02fa527bdb,2,73,73,73,0,98.541791,2160.987458,0,1.0
348,9835783511daaf85d8dae42271b5b80270340acfb45084f6fae53026ea429143,0,211,208,208,0,170.536208,180000.0925,1,0.985781990521327
349,9e7ccad99f2b440b4f921f4e29df311cb1ebb43e0d41928d5aef9a92e2d96ffc,0,211,200,200,0,100.034917,180000.271292,1,0.9478672985781991
350,6e98d00a7e4855375f16f4a7836525103223390e66157c555e2f116e246266a2,0,211,203,203,0,95.151292,180000.241917,1,0.9620853080568721
351,defb146184f0e9733ec19809a2cc9132643f0a5aca55e426f49f2a6d2342f0f7,2,73,72,72,0,89.132667,180000.241875,1,0.9863013698630136
352,7bb5676882ab736e1dd4a32eb2b7ce807badebc1ccc144dce4ce104db7abdd61,0,211,200,200,0,100.727333,180000.253291,1,0.9478672985781991
353,767cf3eda01ebcf304ac6ff8b326f1177aea1ced2926ea2eacd7ee09f09601e7,1,105,100,100,0,87.591708,180000.082125,1,0.9523809523809523
354,7b43dd7b35e8b9051695d4a3956a94f818d10483c729964ac52d2e053ef7713d,0,211,205,205,0,87.311709,180000.048209,1,0.9715639810426541
355,897e5a89b805ce2dc149f0e8258acbc746d92c5390112698251ca4413ba3e449,0,211,202,202,0,91.298292,180000.038042,1,0.957345971563981
356,8a418a866c8552cd7cb7edbb355768f01d500a8b42863e8d9ea12d4ccc3109e4,0,211,204,204,0,94.426416,180000.0195,1,0.966824644549763
357,a8b2bccc80a7fdc75d96ce8344baccfcfc0c5dacbea20368b89e49f36cb532a2,2,73,73,73,0,74.40525,2361.511209,0,1.0
358,2e77bd4749a8627ee35d85b31b4be011f580d42ef7750f3855e8da7f76164fd0,2,73,72,72,0,80.623458,180000.075167,1,0.9863013698630136
359,19684d18a71ce0abe233cfc731429c4dacf529aa9469f99d68016a141d105f8c,0,211,197,197,0,97.991083,180000.088958,1,0.933649289099526
360,219bf1d40ddd461b64610145a546f73eaf665e4c5b96020c0630d64d91595f2a,0,211,200,200,0,84.045375,180000.053334,1,0.9478672985781991
361,d1ce4fbd8de95dad0d3369a23fffdfa42b6f29c567d91e6cb6ccdb270f434fbb,1,105,105,105,0,96.761875,2959.918917,0,1.0
362,2b66f3fb902943ed1f925ecec0faf4f1d38bb40924e216a9f810aba914787ae0,2,73,73,73,0,85.189709,2392.002625,0,1.0
363,ec4077d11815fe2b71b7395f0e551e5a7dd96657f423f1f0063aa8fb4899db61,0,211,200,200,0,100.707209,180000.13975,1,0.9478672985781991
364,33e3efa4290ad906f4414c7e8e21ee3c508425bf95bf058a1631ac58878567fa,0,211,203,203,0,88.357666,180000.153916,1,0.9620853080568721
365,ee89580c65465c7305594f102d0f72c7cf03ae9d5625b7445173131b30e2d149,0,211,181,181,0,83.898709,180000.086875,1,0.8578199052132701
366,cab57f431a6d2710c6b1c78b386fbd2b6b6f419ac99bf2936bc5af8521a4fdf1,0,211,198,198,0,88.6045,180000.128875,1,0.9383886255924171
367,d26ef6a96c2e37fa79bdcb698e6555b1b67223b03824817bf788939bc3e908b8,0,211,203,203,0,82.688667,180000.08375,1,0.9620853080568721
368,b0bc438565be6420b12ad29447aa3dec79f603affe141701dac6017405d61613,3,67,67,67,0,67.745,2743.116042,0,1.0
369,c3e7cf559b787f9c52f2eb5a6359264ca148eda90957b00fc2c14c67b88481d9,0,211,205,205,0,85.925,180000.079958,1,0.9715639810426541
370,6e48552a52a5452c1396c315570c962d77a6fb09bb7249bfc18a74a58f663051,2,73,73,73,0,151.259292,1466.096125,0,1.0
371,2ffc1eb7613c30362813fd5b0a0e2b95cd2fc229e76c092b073bb9903ee90fbd,0,211,199,199,0,82.397542,180000.030875,1,0.943127962085308
372,1676954064cc5cc96ea07dfa0587ddd092f54bc8083fe80a3c4b214ef8ca92c7,0,211,204,204,0,85.753375,180000.05325,1,0.966824644549763
373,96575fc7a6f3ffd560734afa99a7db73ca8b5f44ee622d57ec3d7b86ced60f5e,0,211,207,207,0,99.992125,180000.047333,1,0.981042654028436
