nodeIdx,nodeId,topic,target,found,foundRegistrant,foundExtra,timeToFirstMs,timeToCompletionMs,hitTimeout,recall
266,3c7f02deb943b4b78b929f7f49cd046c65c5ce6475281c018e3e4858074a35a4,4,39,39,39,0,75.956292,1077.808042,0,1.0
267,a537e7bfa082fdad368483e1ae9365470d1a5d3529129ac36239f90fd07c52c2,2,73,73,73,0,90.969541,1705.131708,0,1.0
268,686a3be6d6f1164a135c3535b44c0739f035dd30b4b48b9aa4bc8dcb88c5f196,1,105,105,105,0,83.82025,3195.313375,0,1.0
269,49d8ff6d901110bc5132fdcdc89ad891138dd3c147fafa64da58e7150a0dfffc,3,67,67,67,0,72.683917,1539.746583,0,1.0
270,44e06dd3f963a2a3e9bedc89e4ad5fd391c824c585639aa31042c99fedcba80f,2,73,73,73,0,93.412041,2037.946333,0,1.0
271,3fc5398e3cd92baa089874def0e288a0a2904de12951da4af95d47d8541b728e,3,67,67,67,0,72.916583,1971.046875,0,1.0
272,7d8d0e6d72dbc8967fd825517856ecf741692a70ec7879541544c60d25292272,0,211,206,206,0,95.284958,90000.076875,1,0.976303317535545
273,f70cc98cb5abf052929f3f25a43ab52305b69c0ebb9928230ece2843f0fcbbd4,0,211,207,207,0,84.757625,90000.078334,1,0.981042654028436
274,a38898ac0c9aaefb13f21b99f2470ef87cefbad754fe7f59eb551d25448df4cc,0,211,204,204,0,84.521625,90000.051625,1,0.966824644549763
275,6a9642966664f8d27e8d032c05d2e2c4b8636a21f1be08b0350f3ff37d4145dc,3,67,67,67,0,93.288584,1438.307834,0,1.0
276,22377f363758e5917df1c1bee9351d9d15f8ad33189c386cd4bbaab13b3bb73c,4,39,39,39,0,87.005,786.423917,0,1.0
277,1394f192b5fd31b3f5ce7e61c2a84195130a543a8d9f6b82a8fc97909cad8216,0,211,204,204,0,92.205667,90000.038,1,0.966824644549763
278,1ac822ed322e9e2d018aec146de2adf3915821402eae8852765f22dbe32feb5d,4,39,39,39,0,154.53075,1286.111708,0,1.0
279,3791fde2aee12779f3832291d8f6b50999c00fa6c83da2588fad49dd9a67ed9c,0,211,205,205,0,94.360334,90000.031875,1,0.9715639810426541
280,4f49901fa56fbf5bb1c04804584bc447c6c003b80ec680c727a8a9aa408092b4,1,105,105,105,0,82.4065,2332.375583,0,1.0
281,6565cf0992858b2ba5ad65d7527f466aa83cd86d52b52331230e8401c5ebcb43,0,211,199,199,0,78.952625,90000.027334,1,0.943127962085308
282,8c1bffd27af518be3241335bb374288dbbc1b38d40d3872c0eadcbf542fb984e,0,211,209,209,0,81.137917,90000.018917,1,0.990521327014218
